j5	j3	count	startpos	productsize	JS	deletion size	chorm	type	name	start	end	evtype	evrelorf	evsize	startpos_byfusion
22633	27917	40	106	9	22633 - 27917	5284						in-frame-fusion-orf	S-ORF8	"(357.0, 114.0)"	
4965	11874	40	106	9	4965 - 11874	6909						in-frame-fusion-orf	ORF1a-ORF1a	"(1566.6666666666667, 531.0)"	
812	24692	40	106	9	812 - 24692	23880						in-frame-fusion-orf	ORF1a-S	"(182.33333333333334, 230.66666666666666)"	
16833	23887	40	106	9	16833 - 23887	7054						in-frame-fusion-orf	ORF1b-S	"(1122.0, 499.0)"	
2504	29077	40	106	9	2504 - 29077	26573						frameshift-fusion-orf	ORF1a-N	"(746.3333333333334, 774)"	
9198	22995	39	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
15789	26709	39	106	9	15789 - 26709	10920						frameshift-fusion-orf	ORF1b-M	"(774.0, 784)"	
5622	13322	39	106	9	5622 - 13322	7700						frameshift-fusion-orf	ORF1a-ORF1a	"(1785.6666666666667, 1790)"	
1642	10533	39	106	9	1642 - 10533	8891						frameshift-fusion-orf	ORF1a-ORF1a	"(459.0, 478)"	
7073	19468	39	106	9	7073 - 19468	12395						in-frame-fusion-orf	ORF1a-ORF1b	"(2269.3333333333335, 694.6666666666666)"	
15789	26709	39	106	9	15789 - 26709	10920						frameshift-fusion-orf	ORF1b-M	"(774.0, 784)"	
2449	8723	38	106	9	2449 - 8723	6274						frameshift-fusion-orf	ORF1a-ORF1a	"(728.0, 728)"	
14284	26078	38	106	9	14284 - 26078	11794						frameshift-fusion-orf	ORF1b-ORF3a	"(272.3333333333333, 302)"	
4296	18353	38	106	9	4296 - 18353	14057						in-frame-fusion-orf	ORF1a-ORF1b	"(1343.6666666666667, 1066.3333333333333)"	
11817	22997	38	106	9	11817 - 22997	11180						frameshift-fusion-orf	ORF1a-S	"(3850.6666666666665, 3852)"	
3479	12416	38	106	9	3479 - 12416	8937						in-frame-fusion-orf	ORF1a-ORF1a	"(1071.3333333333333, 350.3333333333333)"	
1325	29373	37	106	9	1325 - 29373	28048						frameshift-fusion-orf	ORF1a-N	"(353.3333333333333, 378)"	
4668	29250	37	106	9	4668 - 29250	24582						in-frame-fusion-orf	ORF1a-N	"(1467.6666666666667, 94.33333333333333)"	
2506	10984	37	106	9	2506 - 10984	8478						in-frame-fusion-orf	ORF1a-ORF1a	"(747.0, 827.6666666666666)"	
11817	22997	37	106	9	11817 - 22997	11180						frameshift-fusion-orf	ORF1a-S	"(3850.6666666666665, 3852)"	
2504	23525	37	106	9	2504 - 23525	21021						in-frame-fusion-orf	ORF1a-S	"(746.3333333333334, 619.6666666666666)"	
16833	28388	37	106	9	16833 - 28388	11555						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1184)"	
2299	15497	37	106	9	2299 - 15497	13198						frameshift-fusion-orf	ORF1a-ORF1b	"(678.0, 682)"	
11394	25790	37	106	9	11394 - 25790	14396						in-frame-fusion-orf	ORF1a-ORF3a	"(3709.6666666666665, 143.33333333333334)"	
2295	17395	37	106	9	2295 - 17395	15100						frameshift-fusion-orf	ORF1a-ORF1b	"(676.6666666666666, 683)"	
21034	29189	37	106	9	21034 - 29189	8155						in-frame-fusion-orf	ORF1b-N	"(2522.3333333333335, 114.66666666666667)"	
11396	19881	36	106	9	11396 - 19881	8485						frameshift-fusion-orf	ORF1a-ORF1b	"(3710.3333333333335, 3728)"	
3481	16292	36	106	9	3481 - 16292	12811						frameshift-fusion-orf	ORF1a-ORF1b	"(1072.0, 1074)"	
3060	13406	36	106	9	3060 - 13406	10346						frameshift-fusion-orf	ORF1a-ORF1a	"(931.6666666666666, 932)"	
16833	28132	36	106	9	16833 - 28132	11299						frameshift-fusion-orf	ORF1b-ORF8	"(1122.0, 1130)"	
16833	23615	36	106	9	16833 - 23615	6782						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1124)"	
2504	23692	36	106	9	2504 - 23692	21188						frameshift-fusion-orf	ORF1a-S	"(746.3333333333334, 756)"	
6379	29017	36	106	9	6379 - 29017	22638						in-frame-fusion-orf	ORF1a-N	"(2038.0, 172.0)"	
2503	28883	36	106	9	2503 - 28883	26380						frameshift-fusion-orf	ORF1a-N	"(746.0, 769)"	
9198	22995	36	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
14321	26060	36	106	9	14321 - 26060	11739						in-frame-fusion-orf	ORF1b-ORF3a	"(284.6666666666667, 53.333333333333336)"	
5930	11287	36	106	9	5930 - 11287	5357						frameshift-fusion-orf	ORF1a-ORF1a	"(1888.3333333333333, 1891)"	
22633	28775	36	106	9	22633 - 28775	6142						frameshift-fusion-orf	S-N	"(357.0, 416)"	
22644	28371	35	106	9	22644 - 28371	5727						in-frame-fusion-orf	S-N	"(360.6666666666667, 387.3333333333333)"	
270	8749	35	106	9	270 - 8749	8479						frameshift-fusion-orf	ORF1a-ORF1a	"(1.6666666666666667, 26)"	
17498	28369	35	106	9	17498 - 28369	10871						frameshift-fusion-orf	ORF1b-N	"(1343.6666666666667, 1343)"	
12333	24672	35	106	9	12333 - 24672	12339						in-frame-fusion-orf	ORF1a-S	"(4022.6666666666665, 237.33333333333334)"	
5237	20064	35	106	9	5237 - 20064	14827						frameshift-fusion-orf	ORF1a-ORF1b	"(1657.3333333333333, 1657)"	
4298	19011	35	106	9	4298 - 19011	14713						frameshift-fusion-orf	ORF1a-ORF1b	"(1344.3333333333333, 1353)"	
16833	29167	35	106	9	16833 - 29167	12334						in-frame-fusion-orf	ORF1b-N	"(1122.0, 122.0)"	
3090	11296	35	106	9	3090 - 11296	8206						frameshift-fusion-orf	ORF1a-ORF1a	"(941.6666666666666, 943)"	
4657	16930	35	106	9	4657 - 16930	12273						frameshift-fusion-orf	ORF1a-ORF1b	"(1464.0, 1464)"	
17914	28883	35	106	9	17914 - 28883	10969						in-frame-fusion-orf	ORF1b-N	"(1482.3333333333333, 216.66666666666666)"	
3066	28989	35	106	9	3066 - 28989	25923						in-frame-fusion-orf	ORF1a-N	"(933.6666666666666, 181.33333333333334)"	
4973	10465	34	106	9	4973 - 10465	5492						frameshift-fusion-orf	ORF1a-ORF1a	"(1569.3333333333333, 1573)"	
20250	29037	34	106	9	20250 - 29037	8787						frameshift-fusion-orf	ORF1b-N	"(2261.0, 2261)"	
22632	29291	34	106	9	22632 - 29291	6659						frameshift-fusion-orf	S-N	"(356.6666666666667, 357)"	
16833	28391	34	106	9	16833 - 28391	11558						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1183)"	
813	17333	34	106	9	813 - 17333	16520						in-frame-fusion-orf	ORF1a-ORF1b	"(182.66666666666666, 1406.3333333333333)"	
11396	23730	34	106	9	11396 - 23730	12334						frameshift-fusion-orf	ORF1a-S	"(3710.3333333333335, 3718)"	
16833	26916	34	106	9	16833 - 26916	10083						frameshift-fusion-orf	ORF1b-M	"(1122.0, 1124)"	
2504	12473	34	106	9	2504 - 12473	9969						in-frame-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 331.3333333333333)"	
6361	29345	34	106	9	6361 - 29345	22984						frameshift-fusion-orf	ORF1a-N	"(2032.0, 2066)"	
14284	27396	34	106	9	14284 - 27396	13112						frameshift-fusion-orf	ORF1b-ORF7a	"(272.3333333333333, 286)"	
2504	29171	34	106	9	2504 - 29171	26667						in-frame-fusion-orf	ORF1a-N	"(746.3333333333334, 120.66666666666667)"	
4963	21704	33	106	9	4963 - 21704	16741						frameshift-fusion-orf	ORF1a-S	"(1566.0, 1618)"	
16833	22269	33	106	9	16833 - 22269	5436						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1122)"	
11817	22997	33	106	9	11817 - 22997	11180						frameshift-fusion-orf	ORF1a-S	"(3850.6666666666665, 3852)"	
809	11931	33	106	9	809 - 11931	11122						frameshift-fusion-orf	ORF1a-ORF1a	"(181.33333333333334, 192)"	
4296	12116	33	106	9	4296 - 12116	7820						frameshift-fusion-orf	ORF1a-ORF1a	"(1343.6666666666667, 1357)"	
14284	23854	33	106	9	14284 - 23854	9570						frameshift-fusion-orf	ORF1b-S	"(272.3333333333333, 280)"	
2504	29085	33	106	9	2504 - 29085	26581						frameshift-fusion-orf	ORF1a-N	"(746.3333333333334, 766)"	
22498	27849	33	106	9	22498 - 27849	5351						frameshift-fusion-orf	S-ORF7b	"(312.0, 327)"	
4295	17154	33	106	9	4295 - 17154	12859						frameshift-fusion-orf	ORF1a-ORF1b	"(1343.3333333333333, 1351)"	
2504	29085	33	106	9	2504 - 29085	26581						frameshift-fusion-orf	ORF1a-N	"(746.3333333333334, 766)"	
7079	28370	33	106	9	7079 - 28370	21291						in-frame-fusion-orf	ORF1a-N	"(2271.3333333333335, 387.6666666666667)"	
14284	23854	33	106	9	14284 - 23854	9570						frameshift-fusion-orf	ORF1b-S	"(272.3333333333333, 280)"	
6221	11547	33	106	9	6221 - 11547	5326						frameshift-fusion-orf	ORF1a-ORF1a	"(1985.3333333333333, 1995)"	
16833	26058	33	106	9	16833 - 26058	9225						in-frame-fusion-orf	ORF1b-ORF3a	"(1122.0, 54.0)"	
1601	10965	33	106	9	1601 - 10965	9364						frameshift-fusion-orf	ORF1a-ORF1a	"(445.3333333333333, 450)"	
16751	23327	33	106	9	16751 - 23327	6576						frameshift-fusion-orf	ORF1b-S	"(1094.6666666666667, 1111)"	
1641	7040	33	106	9	1641 - 7040	5399						frameshift-fusion-orf	ORF1a-ORF1a	"(458.6666666666667, 474)"	
16833	22295	33	106	9	16833 - 22295	5462						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1126)"	
12803	29080	33	106	9	12803 - 29080	16277						frameshift-fusion-orf	ORF1a-N	"(4179.333333333333, 4206)"	
952	7000	33	106	9	952 - 7000	6048						in-frame-fusion-orf	ORF1a-ORF1a	"(229.0, 2155.6666666666665)"	
4295	24866	32	106	9	4295 - 24866	20571						in-frame-fusion-orf	ORF1a-S	"(1343.3333333333333, 172.66666666666666)"	
2285	16892	32	106	9	2285 - 16892	14607						frameshift-fusion-orf	ORF1a-ORF1b	"(673.3333333333334, 681)"	
14283	27549	32	106	9	14283 - 27549	13266						in-frame-fusion-orf	ORF1b-ORF7a	"(272.0, 70.0)"	
3105	21641	32	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
12971	28883	32	106	9	12971 - 28883	15912						in-frame-fusion-orf	ORF1a-N	"(4235.333333333333, 216.66666666666666)"	
14284	25936	32	106	9	14284 - 25936	11652						in-frame-fusion-orf	ORF1b-ORF3a	"(272.3333333333333, 94.66666666666667)"	
11706	29183	32	106	9	11706 - 29183	17477						frameshift-fusion-orf	ORF1a-N	"(3813.6666666666665, 3850)"	
3088	24069	32	106	9	3088 - 24069	20981						frameshift-fusion-orf	ORF1a-S	"(941.0, 943)"	
12888	28370	32	106	9	12888 - 28370	15482						frameshift-fusion-orf	ORF1a-N	"(4207.666666666667, 4222)"	
3193	9608	32	106	9	3193 - 9608	6415						frameshift-fusion-orf	ORF1a-ORF1a	"(976.0, 984)"	
2287	18494	32	106	9	2287 - 18494	16207						frameshift-fusion-orf	ORF1a-ORF1b	"(674.0, 693)"	
3419	11888	32	106	9	3419 - 11888	8469						in-frame-fusion-orf	ORF1a-ORF1a	"(1051.3333333333333, 526.3333333333334)"	
16833	29057	32	106	9	16833 - 29057	12224						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1130)"	
16833	23595	32	106	9	16833 - 23595	6762						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1122)"	
384	12564	32	106	9	384 - 12564	12180						in-frame-fusion-orf	ORF1a-ORF1a	"(39.666666666666664, 301.0)"	
14741	23558	32	106	9	14741 - 23558	8817						frameshift-fusion-orf	ORF1b-S	"(424.6666666666667, 431)"	
10994	18774	31	106	9	10994 - 18774	7780						frameshift-fusion-orf	ORF1a-ORF1b	"(3576.3333333333335, 3582)"	
22640	28700	31	106	9	22640 - 28700	6060						in-frame-fusion-orf	S-N	"(359.3333333333333, 277.6666666666667)"	
5076	20144	31	106	9	5076 - 20144	15068						in-frame-fusion-orf	ORF1a-ORF1b	"(1603.6666666666667, 469.3333333333333)"	
