j5	j3	count	startpos	productsize	JS	deletion size	chorm	type	name	start	end	evtype	evrelorf	evsize	startpos_byfusion
72	27761	323	27824	20	72 - 27761	27689						N-term trunc	ORF7b	23
27803	29175	62	106	9	27803 - 29175	1372						frameshift-fusion-orf	ORF7b-N	(16.0, 55)
14408	17995	55	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
10492	13780	54	106	9	10492 - 13780	3288						frameshift-fusion-orf	ORF1a-ORF1b	(3409.0, 3426)
22440	26878	51	106	9	22440 - 26878	4438						in-frame-fusion-orf	S-M	(292.6666666666667, 104.33333333333333)
14408	17995	50	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
27800	29171	42	106	9	27800 - 29171	1371						frameshift-fusion-orf	ORF7b-N	(15.0, 46)
14408	17995	40	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
11379	13454	39	106	9	11379 - 13454	2075						frameshift-fusion-orf	ORF1a-ORF1a	(3704.6666666666665, 6404)
14408	17995	39	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
14408	17995	36	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
14408	17995	33	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
14408	17995	28	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
14408	17995	28	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
15552	18833	27	106	9	15552 - 18833	3281						frameshift-fusion-orf	ORF1b-ORF1b	(695.0, 695)
14408	17995	18	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
7233	11504	18	106	9	7233 - 11504	4271						frameshift-fusion-orf	ORF1a-ORF1a	(2322.6666666666665, 2339)
14408	17995	18	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
14408	17995	17	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
7233	11504	17	106	9	7233 - 11504	4271						frameshift-fusion-orf	ORF1a-ORF1a	(2322.6666666666665, 2339)
14408	17995	17	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
14408	17995	16	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
7246	11520	16	106	9	7246 - 11520	4274						frameshift-fusion-orf	ORF1a-ORF1a	(2327.0, 2338)
16527	17831	15	106	9	16527 - 17831	1304						frameshift-fusion-orf	ORF1b-ORF1b	(1020.0, 1021)
23317	27383	15	106	9	23317 - 27383	4066						frameshift-fusion-orf	S-ORF6	(585.0, 603)
27802	29172	15	106	9	27802 - 29172	1370						in-frame-fusion-orf	ORF7b-N	(15.666666666666666, 120.33333333333333)
7233	11504	13	106	9	7233 - 11504	4271						frameshift-fusion-orf	ORF1a-ORF1a	(2322.6666666666665, 2339)
27794	29172	13	106	9	27794 - 29172	1378						frameshift-fusion-orf	ORF7b-N	(13.0, 53)
27801	29163	13	106	9	27801 - 29163	1362						frameshift-fusion-orf	ORF7b-N	(15.333333333333334, 49)
7233	11504	12	106	9	7233 - 11504	4271						frameshift-fusion-orf	ORF1a-ORF1a	(2322.6666666666665, 2339)
27606	29427	12	106	9	27606 - 29427	1821						frameshift-fusion-orf	ORF7a-N	(71.0, 87)
14408	17995	11	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
27797	29175	11	106	9	27797 - 29175	1378						frameshift-fusion-orf	ORF7b-N	(14.0, 53)
1638	5601	10	106	9	1638 - 5601	3963						in-frame-fusion-orf	ORF1a-ORF1a	(457.6666666666667, 2622.0)
7233	11504	10	106	9	7233 - 11504	4271						frameshift-fusion-orf	ORF1a-ORF1a	(2322.6666666666665, 2339)
