Accession,SRA_Accession,Pangolin,PangoVersions,Random_Sampling,Isolate,Length,Geo_Location,Isolation_Source,Collection_Date
OL522673.1,SRR16912597,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,AZ-CDC-STM-000704505,29874,USA: Arizona,oronasopharynx,2021-06-22
OL522689.1,SRR16912595,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704507,29884,USA: Florida,oronasopharynx,2021-06-21
OL522698.1,SRR16912594,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704508,29851,USA: Florida,oronasopharynx,2021-06-21
OL522653.1,SRR16912592,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704511,29884,USA: Florida,oronasopharynx,2021-06-21
OL522664.1,SRR16912584,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704520,29886,USA: Florida,oronasopharynx,2021-06-21
OL522675.1,SRR16912583,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704521,29884,USA: Florida,oronasopharynx,2021-06-22
OL522633.1,SRR16912581,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704525,29852,USA: Florida,oronasopharynx,2021-06-21
OL522665.1,SRR16912578,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,GA-CDC-STM-000704528,29884,USA: Georgia,oronasopharynx,2021-06-21
OL522676.1,SRR16912577,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704529,29884,USA: Florida,oronasopharynx,2021-06-22
OL522701.1,SRR16912574,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,GA-CDC-STM-000704532,29853,USA: Georgia,oronasopharynx,2021-06-21
OL522135.1,SRR16912560,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,IN-CDC-STM-000704951,29884,USA: Indiana,oronasopharynx,2021-06-28
OL522146.1,SRR16912559,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704952,29884,USA: Florida,oronasopharynx,2021-06-28
OL522175.1,SRR16912557,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704955,29882,USA: Florida,oronasopharynx,2021-06-28
OL522157.1,SRR16912540,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704977,29884,USA: Florida,oronasopharynx,2021-06-28
OL522115.1,SRR16912536,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,TX-CDC-STM-000704981,29875,USA: Texas,oronasopharynx,2021-06-28
OL522537.1,SRR16912513,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000612254,29876,USA: Florida,oronasopharynx,2021-07-06
OL522518.1,SRR16912508,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000612259,29865,USA: Florida,oronasopharynx,2021-07-06
OL522550.1,SRR16912505,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,PA-CDC-STM-000612264,29853,USA: Pennsylvania,oronasopharynx,2021-07-06
OL522539.1,SRR16912482,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000612294,29853,USA: Florida,oronasopharynx,2021-07-05
OL522231.1,SRR16912478,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704005,29884,USA: Florida,oronasopharynx,2021-06-17
OL522242.1,SRR16912477,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704006,29858,USA: Florida,oronasopharynx,2021-06-17
OL522200.1,SRR16912473,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704010,29854,USA: Florida,oronasopharynx,2021-06-17
OL522212.1,SRR16912472,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704011,29880,USA: Florida,oronasopharynx,2021-06-17
OL522899.1,SRR16912453,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000705006,29884,USA: Florida,oronasopharynx,2021-06-27
OL522920.1,SRR16912451,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000705008,29884,USA: Florida,oronasopharynx,2021-06-27
OL522921.1,SRR16912445,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,LA-CDC-STM-000705016,29881,USA: Louisiana,oronasopharynx,2021-06-27
OL522922.1,SRR16912441,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000705024,29884,USA: Florida,oronasopharynx,2021-06-26
OL522864.1,SRR16912439,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000705026,29884,USA: Florida,oronasopharynx,2021-06-26
OL522901.1,SRR16912435,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000705030,29854,USA: Florida,oronasopharynx,2021-06-26
OL522912.1,SRR16912434,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000705031,29857,USA: Florida,oronasopharynx,2021-06-26
OL522923.1,SRR16912433,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,MI-CDC-STM-000705032,29884,USA: Michigan,oronasopharynx,2021-06-26
OL522926.1,SRR16912402,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000705064,29854,USA: Florida,oronasopharynx,2021-06-27
OL522860.1,SRR16912401,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,GA-CDC-STM-000705065,29851,USA: Georgia,oronasopharynx,2021-06-28
OL522907.1,SRR16912393,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,IL-CDC-STM-000705078,29884,USA: Illinois,oronasopharynx,2021-06-27
OL522298.1,SRR16912379,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,TX-CDC-STM-000704143,29854,USA: Texas,oronasopharynx,2021-06-18
OL522315.1,SRR16912377,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,TX-CDC-STM-000704145,29881,USA: Texas,oronasopharynx,2021-06-18
OL522348.1,SRR16912374,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,IN-CDC-STM-000704148,29884,USA: Indiana,oronasopharynx,2021-06-17
OL522299.1,SRR16912371,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704151,29884,USA: Florida,oronasopharynx,2021-06-17
OL522316.1,SRR16912369,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704153,29878,USA: Florida,oronasopharynx,2021-06-17
OL522338.1,SRR16912367,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704155,29884,USA: Florida,oronasopharynx,2021-06-19
OL522278.1,SRR16912365,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704157,29854,USA: Florida,oronasopharynx,2021-06-19
OL523094.1,SRR16912353,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,MI-CDC-STM-000705365,29848,USA: Michigan,oronasopharynx,2021-07-01
OL523154.1,SRR16912348,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,IL-CDC-STM-000705372,29884,USA: Illinois,oronasopharynx,2021-07-01
OL523155.1,SRR16912340,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000705380,29853,USA: Florida,oronasopharynx,2021-07-01
OL523120.1,SRR16912336,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000705384,29884,USA: Florida,oronasopharynx,2021-07-01
OL523097.1,SRR16912334,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,IL-CDC-STM-000705389,29884,USA: Illinois,oronasopharynx,2021-06-26
OL522309.1,SRR16912327,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,IN-CDC-STM-000704168,29884,USA: Indiana,oronasopharynx,2021-06-20
OL522301.1,SRR16912320,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,LA-CDC-STM-000704175,29884,USA: Louisiana,oronasopharynx,2021-06-20
OL522292.1,SRR16912313,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,TX-CDC-STM-000704182,29856,USA: Texas,oronasopharynx,2021-06-20
OL522353.1,SRR16912309,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,TX-CDC-STM-000704188,29884,USA: Texas,oronasopharynx,2021-06-20
OL522303.1,SRR16912306,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,TX-CDC-STM-000704191,29884,USA: Texas,oronasopharynx,2021-06-20
OL522342.1,SRR16912303,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,GA-CDC-STM-000704195,29884,USA: Georgia,oronasopharynx,2021-06-20
OL522680.1,SRR16912296,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,TX-CDC-STM-000704577,29884,USA: Texas,oronasopharynx,2021-06-24
OL522695.1,SRR16912294,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,LA-CDC-STM-000704579,29855,USA: Louisiana,oronasopharynx,2021-06-24
OL522672.1,SRR16912284,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704592,29884,USA: Florida,oronasopharynx,2021-06-24
OL522697.1,SRR16912283,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704595,29884,USA: Florida,oronasopharynx,2021-06-24
OL522709.1,SRR16912276,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,GA-CDC-STM-000704609,29848,USA: Georgia,oronasopharynx,2021-06-24
OL522725.1,SRR16912274,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704611,29884,USA: Florida,oronasopharynx,2021-06-24
OL522750.1,SRR16912271,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704614,29884,USA: Florida,oronasopharynx,2021-06-24
OL522762.1,SRR16912264,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,CA-CDC-STM-000704623,29884,USA: California,oronasopharynx,2021-06-24
OL522763.1,SRR16912256,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704639,29868,USA: Florida,oronasopharynx,2021-06-23
OL522727.1,SRR16912252,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704643,29846,USA: Florida,oronasopharynx,2021-06-23
OL522743.1,SRR16912250,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704645,29882,USA: Florida,oronasopharynx,2021-06-23
OL522737.1,SRR16912243,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704652,29884,USA: Florida,oronasopharynx,2021-06-23
OL522721.1,SRR16912238,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704658,29884,USA: Florida,oronasopharynx,2021-06-22
OL522729.1,SRR16912237,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704659,29884,USA: Florida,oronasopharynx,2021-06-23
OL522745.1,SRR16912235,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,GA-CDC-STM-000704661,29884,USA: Georgia,oronasopharynx,2021-06-23
OL522774.1,SRR16912233,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704664,29869,USA: Florida,oronasopharynx,2021-06-23
OL522420.1,SRR16912231,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704216,29884,USA: Florida,oronasopharynx,2021-06-19
OL522375.1,SRR16912228,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704219,29882,USA: Florida,oronasopharynx,2021-06-19
OL522376.1,SRR16912222,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704227,29875,USA: Florida,oronasopharynx,2021-06-19
OL522413.1,SRR16912218,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704231,29883,USA: Florida,oronasopharynx,2021-06-19
OL522384.1,SRR16912214,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704236,29884,USA: Florida,oronasopharynx,2021-06-19
OL522414.1,SRR16912211,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704239,29884,USA: Florida,oronasopharynx,2021-06-19
