Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	collected_by	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host_disease	Host	Instrument	Isolate	Isolation_Source	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study
SRR19735533	AMPLICON	74	269347862	PRJNA614995	SAMN29178609	SARS-CoV-2: clinical or host-associated	85709715	UPHL_ID	Utah Public Health Laboratory	2022/5/6	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15782067	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530050932	patient isolate	UT-UPHL-220530050932	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530050932	SRP253926
SRR19735630	AMPLICON	74	313885039	PRJNA614995	SAMN29178580	SARS-CoV-2: clinical or host-associated	104668073	UPHL_ID	Utah Public Health Laboratory	2022/5/16	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781970	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530434461	patient isolate	UT-UPHL-220530434461	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530434461	SRP253926
SRR19735672	AMPLICON	74	104606409	PRJNA614995	SAMN29178658	SARS-CoV-2: clinical or host-associated	33545390	UPHL_ID	Utah Public Health Laboratory	2022/5/18	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781928	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530080238	patient isolate	UT-UPHL-220530080238	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530080238	SRP253926
SRR19735680	AMPLICON	74	378320611	PRJNA614995	SAMN29178564	SARS-CoV-2: clinical or host-associated	125818774	UPHL_ID	Utah Public Health Laboratory	2022/5/21	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781920	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530383634	patient isolate	UT-UPHL-220530383634	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530383634	SRP253926
SRR19735724	AMPLICON	73	536582551	PRJNA614995	SAMN29178639	SARS-CoV-2: clinical or host-associated	185602560	UPHL_ID	Utah Public Health Laboratory	2022/5/16	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781876	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530912108	patient isolate	UT-UPHL-220530912108	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530912108	SRP253926
SRR19735726	AMPLICON	73	386442516	PRJNA614995	SAMN29178638	SARS-CoV-2: clinical or host-associated	126923738	UPHL_ID	Utah Public Health Laboratory	2022/5/21	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781874	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530926749	patient isolate	UT-UPHL-220530926749	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530926749	SRP253926
SRR19735728	AMPLICON	74	315389224	PRJNA614995	SAMN29178636	SARS-CoV-2: clinical or host-associated	101924748	UPHL_ID	Utah Public Health Laboratory	2022/5/16	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781872	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530564590	patient isolate	UT-UPHL-220530564590	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530564590	SRP253926
SRR19735741	AMPLICON	74	644472747	PRJNA614995	SAMN29178624	SARS-CoV-2: clinical or host-associated	212182735	UPHL_ID	Utah Public Health Laboratory	2022/5/20	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781859	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530860320	patient isolate	UT-UPHL-220530860320	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530860320	SRP253926
SRR19735765	AMPLICON	74	567300763	PRJNA614995	SAMN29178516	SARS-CoV-2: clinical or host-associated	190262483	UPHL_ID	Utah Public Health Laboratory	2022/5/15	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781835	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530694907	patient isolate	UT-UPHL-220530694907	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530694907	SRP253926
SRR19735772	AMPLICON	73	683508966	PRJNA614995	SAMN29178509	SARS-CoV-2: clinical or host-associated	222478147	UPHL_ID	Utah Public Health Laboratory	2022/5/20	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781828	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530682069	patient isolate	UT-UPHL-220530682069	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530682069	SRP253926
SRR19735118	AMPLICON	74	485899423	PRJNA614995	SAMN29178070	SARS-CoV-2: clinical or host-associated	166117348	UPHL_ID	Utah Public Health Laboratory	2022/5/28	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781752	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611425325	patient isolate	UT-UPHL-220611425325	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220611425325	SRP253926
SRR19735224	AMPLICON	74	519075098	PRJNA614995	SAMN29178061	SARS-CoV-2: clinical or host-associated	176340445	UPHL_ID	Utah Public Health Laboratory	2022/5/29	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781646	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611710885	patient isolate	UT-UPHL-220611710885	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220611710885	SRP253926
SRR19735303	AMPLICON	74	605632871	PRJNA614995	SAMN29178135	SARS-CoV-2: clinical or host-associated	210844560	UPHL_ID	Utah Public Health Laboratory	2022/5/29	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781567	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611795616	patient isolate	UT-UPHL-220611795616	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220611795616	SRP253926
SRR19735305	AMPLICON	74	307430896	PRJNA614995	SAMN29178133	SARS-CoV-2: clinical or host-associated	100316092	UPHL_ID	Utah Public Health Laboratory	2022/5/30	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781565	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611397138	patient isolate	UT-UPHL-220611397138	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220611397138	SRP253926
SRR19735309	AMPLICON	74	667878906	PRJNA614995	SAMN29178129	SARS-CoV-2: clinical or host-associated	215679021	UPHL_ID	Utah Public Health Laboratory	2022/5/27	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781561	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611529499	patient isolate	UT-UPHL-220611529499	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220611529499	SRP253926
SRR19735547	AMPLICON	74	695587895	PRJNA614995	SAMN29178598	SARS-CoV-2: clinical or host-associated	234203531	UPHL_ID	Utah Public Health Laboratory	2022/5/10	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15782053	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530524822	patient isolate	UT-UPHL-220530524822	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530524822	SRP253926
SRR19735562	AMPLICON	74	1041076822	PRJNA614995	SAMN29178493	SARS-CoV-2: clinical or host-associated	350713966	UPHL_ID	Utah Public Health Laboratory	2022/5/18	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15782038	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530443895	patient isolate	UT-UPHL-220530443895	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530443895	SRP253926
SRR19735669	AMPLICON	73	420910541	PRJNA614995	SAMN29178660	SARS-CoV-2: clinical or host-associated	140819277	UPHL_ID	Utah Public Health Laboratory	2022/5/19	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781931	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530530341	patient isolate	UT-UPHL-220530530341	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530530341	SRP253926
SRR19735677	AMPLICON	73	499555892	PRJNA614995	SAMN29178653	SARS-CoV-2: clinical or host-associated	175644596	UPHL_ID	Utah Public Health Laboratory	2022/5/16	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781923	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530820014	patient isolate	UT-UPHL-220530820014	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530820014	SRP253926
SRR19735715	AMPLICON	74	569399160	PRJNA614995	SAMN29178648	SARS-CoV-2: clinical or host-associated	193018952	UPHL_ID	Utah Public Health Laboratory	2022/5/17	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781885	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530644113	patient isolate	UT-UPHL-220530644113	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530644113	SRP253926
SRR19735716	AMPLICON	74	327846989	PRJNA614995	SAMN29178647	SARS-CoV-2: clinical or host-associated	105087408	UPHL_ID	Utah Public Health Laboratory	2022/5/16	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781884	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530798217	patient isolate	UT-UPHL-220530798217	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530798217	SRP253926
SRR19735719	AMPLICON	74	247081475	PRJNA614995	SAMN29178644	SARS-CoV-2: clinical or host-associated	80071549	UPHL_ID	Utah Public Health Laboratory	2022/5/18	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781881	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530422067	patient isolate	UT-UPHL-220530422067	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530422067	SRP253926
SRR19735740	AMPLICON	74	393626301	PRJNA614995	SAMN29178625	SARS-CoV-2: clinical or host-associated	121930407	UPHL_ID	Utah Public Health Laboratory	2022/5/17	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781860	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530861317	patient isolate	UT-UPHL-220530861317	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530861317	SRP253926
SRR19868861	AMPLICON	74	311414526	PRJNA614995	SAMN29379052	SARS-CoV-2: clinical or host-associated	101329262	UPHL_ID	Utah Public Health Laboratory	2022/6/1	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15912301	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220619195233	patient isolate	UT-UPHL-220619195233	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-27T00:00:00Z	UT-UPHL-220619195233	SRP253926
SRR19868862	AMPLICON	74	719672371	PRJNA614995	SAMN29379051	SARS-CoV-2: clinical or host-associated	239442723	UPHL_ID	Utah Public Health Laboratory	2022/6/9	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15912300	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220619509595	patient isolate	UT-UPHL-220619509595	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-27T00:00:00Z	UT-UPHL-220619509595	SRP253926
SRR19868864	AMPLICON	73	413732054	PRJNA614995	SAMN29379050	SARS-CoV-2: clinical or host-associated	110170514	UPHL_ID	Utah Public Health Laboratory	2022/6/10	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15912298	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220619705874	patient isolate	UT-UPHL-220619705874	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-27T00:00:00Z	UT-UPHL-220619705874	SRP253926
SRR19868865	AMPLICON	73	260129462	PRJNA614995	SAMN29379049	SARS-CoV-2: clinical or host-associated	82423345	UPHL_ID	Utah Public Health Laboratory	2022/6/2	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15912297	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220619358380	patient isolate	UT-UPHL-220619358380	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-27T00:00:00Z	UT-UPHL-220619358380	SRP253926
SRR19868866	AMPLICON	74	851882828	PRJNA614995	SAMN29379048	SARS-CoV-2: clinical or host-associated	278671022	UPHL_ID	Utah Public Health Laboratory	2022/6/1	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15912296	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220619836248	patient isolate	UT-UPHL-220619836248	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-27T00:00:00Z	UT-UPHL-220619836248	SRP253926
SRR19868870	AMPLICON	74	292164865	PRJNA614995	SAMN29379044	SARS-CoV-2: clinical or host-associated	88466986	UPHL_ID	Utah Public Health Laboratory	2022/5/21	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15912292	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220619437677	patient isolate	UT-UPHL-220619437677	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-27T00:00:00Z	UT-UPHL-220619437677	SRP253926
SRR19868872	AMPLICON	74	316091186	PRJNA614995	SAMN29379042	SARS-CoV-2: clinical or host-associated	75823958	UPHL_ID	Utah Public Health Laboratory	2022/6/8	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15912290	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220619217967	patient isolate	UT-UPHL-220619217967	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-27T00:00:00Z	UT-UPHL-220619217967	SRP253926
SRR19868873	AMPLICON	74	275882925	PRJNA614995	SAMN29379041	SARS-CoV-2: clinical or host-associated	90727257	UPHL_ID	Utah Public Health Laboratory	2022/5/31	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15912289	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220619148536	patient isolate	UT-UPHL-220619148536	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-27T00:00:00Z	UT-UPHL-220619148536	SRP253926
SRR19868875	AMPLICON	74	399848776	PRJNA614995	SAMN29379040	SARS-CoV-2: clinical or host-associated	134139375	UPHL_ID	Utah Public Health Laboratory	2022/6/1	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15912287	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220619956049	patient isolate	UT-UPHL-220619956049	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-27T00:00:00Z	UT-UPHL-220619956049	SRP253926
SRR19868877	AMPLICON	74	340012759	PRJNA614995	SAMN29379038	SARS-CoV-2: clinical or host-associated	87362886	UPHL_ID	Utah Public Health Laboratory	2022/6/1	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15912285	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220619410522	patient isolate	UT-UPHL-220619410522	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-27T00:00:00Z	UT-UPHL-220619410522	SRP253926
